Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8
Fix last polynomial: false

Function: 61171C1D11AB6CA1C11D1A1B1167CA61A11B161711CDA6C10EE1E0E1EE01FFFE nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 
Function: A1175C0D31A974A1C9151C1B0367CB21A09B1653116D86D10EC960E5EA03FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_9(X) = X^2 + 1 
Function: E113541D21AB7C81C81D1E1913274B61819B164711E5A2D10E69A0E5EC03FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: C1175C1930AB7C21C90D161B13658B61A193065711ADA4D10AE9E0C56E03FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: E107581D31A35CA1C9190E1B1347C361219B165510EDA6910CE9E065AE03FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: E1154C1D312B78A1891D1E131267CB41A18B145711E926D106E9E0A5CE03FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: E0175C15318B3CA1491D1E0B1363C961A199125701EDA6510EA9C0E5E603FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: E1165C1C31AA7CA0C91C1E1A1366CB60A19A165611ECA6D00EE8E0E4EE02FFFE nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: E1175C1D31AB7CA1C91D1E1B1367CB61A19B165711EDA6D10EE9E0E5EE030000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: 25171E0D19A965A1C155183B01E7CA31E01B3613914D96C10EC560E3EA09FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_10(X) = X^2 + 3 
Function: 6513161D09AB6D81C05D1A3911A74A71C11B360791C5B2C10E65A0E3EC09FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 45171E1918AB6D21C14D123B11E58A71E1132617918DB4C10AE5E0C36E09FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 65071A1D19A34DA1C1590A3B11C7C271611B361590CDB6810CE5E063AE09FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 65150E1D192B69A1815D1A3310E7CA51E10B341791C936C106E5E0A3CE09FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 64171E15198B2DA1415D1A2B11E3C871E119321781CDB6410EA5C0E3E609FFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 65161E1C19AA6DA0C15C1A3A11E6CA70E11A361691CCB6C00EE4E0E2EE08FFFE nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 65171E1D19AB6DA1C15D1A3B11E7CA71E11B361791CDB6C10EE5E0E3EE090000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 + 3X + 3 	p_4(X) = X^2 + 3X + 1 	p_5(X) = X^2 + 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 + 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
